epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
283,17461.2,0.92073,0.80548,0.98564,0.54351,0.0044164,0.0044164,0.0044164
284,17522.3,0.92079,0.80642,0.98543,0.53562,0.0043966,0.0043966,0.0043966
285,17583.2,0.92051,0.80621,0.98548,0.53705,0.0043768,0.0043768,0.0043768
286,17644.2,0.91688,0.80653,0.98533,0.53965,0.004357,0.004357,0.004357
287,17705,0.91797,0.80595,0.98533,0.53596,0.0043372,0.0043372,0.0043372
288,17765.9,0.92147,0.80658,0.98538,0.53567,0.0043174,0.0043174,0.0043174
289,17827.1,0.91318,0.80668,0.98548,0.54059,0.0042976,0.0042976,0.0042976
290,17887.9,0.9183,0.80658,0.98548,0.53492,0.0042778,0.0042778,0.0042778
291,17948.7,0.91072,0.80767,0.98522,0.5348,0.004258,0.004258,0.004258
292,18009.7,0.91146,0.80798,0.98543,0.52865,0.0042382,0.0042382,0.0042382
293,18070.5,0.91198,0.80975,0.98564,0.531,0.0042184,0.0042184,0.0042184
294,18131.8,0.90997,0.80954,0.98569,0.53087,0.0041986,0.0041986,0.0041986
295,18192.8,0.90907,0.80939,0.98543,0.53147,0.0041788,0.0041788,0.0041788
296,18253.9,0.90788,0.80986,0.98543,0.53543,0.004159,0.004159,0.004159
297,18314.9,0.91111,0.8098,0.98595,0.52735,0.0041392,0.0041392,0.0041392
298,18375.8,0.90342,0.80918,0.9859,0.52837,0.0041194,0.0041194,0.0041194
299,18437.1,0.90543,0.80882,0.98579,0.52912,0.0040996,0.0040996,0.0040996
300,18498.1,0.9014,0.81001,0.98585,0.52743,0.0040798,0.0040798,0.0040798
301,18559.1,0.90271,0.81064,0.9859,0.52578,0.00406,0.00406,0.00406
302,18620,0.90357,0.81038,0.986,0.52939,0.0040402,0.0040402,0.0040402
303,18680.9,0.90068,0.81116,0.98595,0.52431,0.0040204,0.0040204,0.0040204
304,18742,0.89896,0.81157,0.98626,0.51905,0.0040006,0.0040006,0.0040006
305,18803,0.90025,0.81121,0.98585,0.52226,0.0039808,0.0039808,0.0039808
306,18863.8,0.9002,0.81168,0.98595,0.52464,0.003961,0.003961,0.003961
307,18924.8,0.89689,0.81194,0.98585,0.52227,0.0039412,0.0039412,0.0039412
308,18985.7,0.89776,0.81178,0.98605,0.52351,0.0039214,0.0039214,0.0039214
